key,value
0,4.408
3600,4.269
7200,4.146
10800,4.048
14400,3.979
18000,3.945
21600,3.948
25200,3.987
28800,4.06
32400,4.161
36000,4.282
39600,4.417
43200,4.554
46800,4.685
50400,4.801
54000,4.892
57600,4.954
61200,4.981
64800,4.971
68400,4.925
72000,4.847
75600,4.74
79200,4.612
82800,4.472
86400,4.329
90000,4.192
93600,4.071
97200,3.973
100800,3.905
104400,3.872
108000,3.875
111600,3.913
115200,3.985
118800,4.085
122400,4.205
126000,4.338
129600,4.474
133200,4.603
136800,4.717
140400,4.807
144000,4.868
147600,4.895
151200,4.885
154800,4.84
158400,4.763
162000,4.657
165600,4.531
169200,4.393
172800,4.251
176400,4.116
180000,3.996
183600,3.9
187200,3.833
190800,3.8
194400,3.803
198000,3.841
201600,3.912
205200,4.01
208800,4.129
212400,4.261
216000,4.395
219600,4.523
223200,4.635
226800,4.725
230400,4.785
234000,4.811
237600,4.802
241200,4.757
244800,4.681
248400,4.576
252000,4.452
255600,4.315
259200,4.175
262800,4.042
266400,3.924
270000,3.828
273600,3.762
277200,3.73
280800,3.733
284400,3.771
288000,3.841
291600,3.938
295200,4.056
298800,4.185
302400,4.318
306000,4.444
309600,4.556
313200,4.644
316800,4.704
320400,4.73
324000,4.721
327600,4.677
331200,4.601
334800,4.498
338400,4.375
342000,4.24
345600,4.102
349200,3.97
352800,3.853
356400,3.758
360000,3.693
363600,3.661
367200,3.664
370800,3.701
374400,3.771
378000,3.867
381600,3.983
385200,4.112
388800,4.243
392400,4.368
396000,4.478
399600,4.566
403200,4.625
406800,4.651
410400,4.642
414000,4.598
417600,4.523
421200,4.422
424800,4.3
428400,4.166
432000,4.03
435600,3.899
439200,3.783
442800,3.69
446400,3.626
450000,3.594
453600,3.597
457200,3.634
460800,3.703
464400,3.798
468000,3.913
471600,4.04
475200,4.17
478800,4.294
482400,4.403
486000,4.49
489600,4.548
493200,4.574
496800,4.565
500400,4.522
504000,4.448
507600,4.347
511200,4.227
514800,4.095
518400,3.959
522000,3.83
525600,3.716
529200,3.624
532800,3.56
536400,3.528
540000,3.531
543600,3.568
547200,3.636
550800,3.73
554400,3.845
558000,3.97
561600,4.099
565200,4.222
568800,4.33
572400,4.416
576000,4.474
579600,4.5
583200,4.491
586800,4.449
590400,4.375
594000,4.275
597600,4.156
601200,4.025
604800,3.891
608400,3.763
612000,3.65
615600,3.559
619200,3.495
622800,3.464
626400,3.467
630000,3.504
633600,3.571
637200,3.665
640800,3.778
644400,3.903
648000,4.03
651600,4.152
655200,4.259
658800,4.345
662400,4.402
666000,4.428
669600,4.419
673200,4.377
676800,4.304
680400,4.206
684000,4.087
687600,3.958
691200,3.825
694800,3.698
698400,3.586
702000,3.495
705600,3.433
709200,3.402
712800,3.405
716400,3.441
720000,3.508
723600,3.601
727200,3.713
730800,3.837
734400,3.964
738000,4.085
741600,4.191
745200,4.276
748800,4.333
752400,4.358
756000,4.35
759600,4.308
763200,4.236
766800,4.138
770400,4.021
774000,3.892
777600,3.761
781200,3.635
784800,3.523
788400,3.434
792000,3.372
795600,3.341
799200,3.344
802800,3.38
806400,3.447
810000,3.539
813600,3.65
817200,3.773
820800,3.899
824400,4.019
828000,4.125
831600,4.209
835200,4.266
838800,4.291
842400,4.283
846000,4.242
849600,4.17
853200,4.073
856800,3.957
860400,3.829
864000,3.698
867600,3.573
871200,3.463
874800,3.374
878400,3.312
882000,3.282
885600,3.285
889200,3.321
892800,3.387
896400,3.479
9.00E+05,3.589
903600,3.711
907200,3.837
910800,3.956
914400,4.061
918000,4.145
921600,4.201
925200,4.226
928800,4.218
932400,4.177
936000,4.106
939600,4.01
943200,3.894
946800,3.768
950400,3.638
954000,3.514
957600,3.404
961200,3.316
964800,3.254
968400,3.224
972000,3.227
975600,3.263
979200,3.329
982800,3.42
986400,3.53
990000,3.652
993600,3.776
997200,3.895
1000800,3.999
1004400,4.083
1008000,4.139
1011600,4.164
1015200,4.156
1018800,4.115
1022400,4.045
1026000,3.949
1029600,3.834
1033200,3.708
1036800,3.579
1040400,3.456
1044000,3.347
1047600,3.259
1051200,3.198
1054800,3.169
1058400,3.172
1062000,3.207
1065600,3.273
1069200,3.363
1072800,3.473
1076400,3.594
1080000,3.718
1083600,3.836
1087200,3.94
1090800,4.023
1094400,4.079
1098000,4.104
1101600,4.096
1105200,4.056
1108800,3.986
1112400,3.891
1116000,3.777
1119600,3.651
1123200,3.523
1126800,3.401
1130400,3.292
1134000,3.205
1137600,3.144
1141200,3.114
1144800,3.118
1148400,3.153
1152000,3.218
1155600,3.309
1159200,3.418
1162800,3.538
1166400,3.662
1170000,3.779
1173600,3.883
1177200,3.966
1180800,4.022
1184400,4.047
1188000,4.039
1191600,3.999
1195200,3.929
1198800,3.835
1202400,3.721
1206000,3.596
1209600,3.469
1213200,3.347
1216800,3.239
1220400,3.152
1224000,3.092
1227600,3.062
1231200,3.065
1234800,3.101
1238400,3.166
1242000,3.256
1245600,3.365
1249200,3.485
1252800,3.608
1256400,3.725
1260000,3.829
1263600,3.911
1267200,3.967
1270800,3.992
1274400,3.984
1278000,3.944
1281600,3.875
1285200,3.781
1288800,3.668
1292400,3.543
1296000,3.416
1299600,3.295
1303200,3.187
1306800,3.101
1310400,3.041
1314000,3.011
1317600,3.015
1321200,3.05
1324800,3.115
1328400,3.205
1332000,3.314
1335600,3.433
1339200,3.556
1342800,3.673
1346400,3.776
1350000,3.859
1353600,3.914
1357200,3.939
1360800,3.932
1364400,3.892
1368000,3.823
1371600,3.729
1375200,3.617
1378800,3.493
1382400,3.366
1386000,3.245
1389600,3.138
1393200,3.051
1396800,2.992
1400400,2.963
1404000,2.966
1407600,3.001
1411200,3.066
1414800,3.156
1418400,3.264
1422000,3.384
1425600,3.507
1429200,3.623
1432800,3.727
1436400,3.809
1440000,3.864
1443600,3.89
1447200,3.882
1450800,3.843
1454400,3.774
1458000,3.68
1461600,3.568
1465200,3.444
1468800,3.318
1472400,3.197
1476000,3.09
1479600,3.004
1483200,2.944
1486800,2.915
1490400,2.919
1494000,2.954
1497600,3.019
1501200,3.109
1504800,3.217
1508400,3.337
1512000,3.459
1515600,3.576
1519200,3.679
1522800,3.761
1526400,3.817
1530000,3.842
1533600,3.835
1537200,3.796
1540800,3.727
1544400,3.634
1548000,3.521
1551600,3.398
1555200,3.272
1558800,3.151
1562400,3.044
1566000,2.958
1569600,2.899
1573200,2.87
1576800,2.873
1580400,2.909
1584000,2.974
1587600,3.064
1591200,3.172
1594800,3.292
1598400,3.414
1602000,3.531
1605600,3.634
1609200,3.717
1612800,3.772
1616400,3.798
1620000,3.791
1623600,3.751
1627200,3.683
1630800,3.589
1634400,3.477
1638000,3.354
1641600,3.228
1645200,3.107
1648800,3.001
1652400,2.915
1656000,2.855
1659600,2.826
1663200,2.83
1666800,2.865
1670400,2.93
1674000,3.02
1677600,3.129
1681200,3.249
1684800,3.371
1688400,3.488
1692000,3.592
1695600,3.674
1699200,3.73
1702800,3.756
1706400,3.749
1710000,3.71
1713600,3.641
1717200,3.548
1720800,3.436
1724400,3.312
1728000,3.186
1731600,3.066
1735200,2.959
1738800,2.873
1742400,2.813
1746000,2.785
1749600,2.788
1753200,2.824
1756800,2.889
1760400,2.979
1764000,3.088
1767600,3.208
1771200,3.331
1774800,3.448
1778400,3.552
1782000,3.634
1785600,3.69
1789200,3.716
1792800,3.709
1796400,3.67
1800000,3.602
1803600,3.508
1807200,3.396
1810800,3.273
1814400,3.146
1818000,3.026
1821600,2.919
1825200,2.833
1828800,2.773
1832400,2.745
1836000,2.748
1839600,2.784
1843200,2.849
1846800,2.94
1850400,3.049
1854000,3.169
1857600,3.292
1861200,3.41
1864800,3.514
1868400,3.597
1872000,3.653
1875600,3.679
1879200,3.672
1882800,3.633
1886400,3.565
1890000,3.471
1893600,3.359
1897200,3.235
1900800,3.109
1904400,2.988
1908000,2.881
1911600,2.795
1915200,2.735
1918800,2.706
1922400,2.71
1926000,2.746
1929600,2.812
1933200,2.902
1936800,3.012
1940400,3.133
1944000,3.256
1947600,3.375
1951200,3.479
1954800,3.562
1958400,3.619
1962000,3.645
1965600,3.638
1969200,3.599
1972800,3.531
1976400,3.437
1980000,3.324
1983600,3.2
1987200,3.073
1990800,2.952
1994400,2.845
1998000,2.758
2001600,2.699
2005200,2.67
2008800,2.674
2012400,2.71
2016000,2.776
2019600,2.867
2023200,2.977
2026800,3.098
2030400,3.223
2034000,3.341
2037600,3.446
2041200,3.53
2044800,3.587
2048400,3.613
2052000,3.606
2055600,3.568
2059200,3.499
2062800,3.405
2066400,3.292
2070000,3.167
2073600,3.04
2077200,2.919
2080800,2.811
2084400,2.724
2088000,2.664
2091600,2.636
2095200,2.64
2098800,2.676
2102400,2.742
2106000,2.834
2109600,2.944
2113200,3.066
2116800,3.191
2120400,3.311
2124000,3.416
2127600,3.5
2131200,3.558
2134800,3.584
2138400,3.578
2142000,3.538
2145600,3.469
2149200,3.375
2152800,3.262
2156400,3.137
2160000,3.009
2163600,2.887
2167200,2.779
2170800,2.692
2174400,2.632
2178000,2.603
2181600,2.607
2185200,2.644
2188800,2.71
2192400,2.803
2196000,2.914
2199600,3.037
2203200,3.162
2206800,3.282
2210400,3.388
2214000,3.473
2217600,3.531
2221200,3.558
2224800,3.551
2228400,3.512
2232000,3.443
2235600,3.348
2239200,3.234
2242800,3.109
2246400,2.98
2250000,2.858
2253600,2.749
2257200,2.661
2260800,2.601
2264400,2.572
2268000,2.576
2271600,2.613
2275200,2.681
2278800,2.773
2282400,2.885
2286000,3.009
2289600,3.136
2293200,3.256
2296800,3.363
2300400,3.449
2304000,3.507
2307600,3.534
2311200,3.528
2314800,3.488
2318400,3.419
2322000,3.323
2325600,3.209
2329200,3.083
2332800,2.954
2336400,2.83
2340000,2.721
2343600,2.633
2347200,2.572
2350800,2.543
2354400,2.548
2358000,2.585
2361600,2.653
2365200,2.746
2368800,2.859
2372400,2.984
2376000,3.111
2379600,3.233
2383200,3.341
2386800,3.427
2390400,3.486
2394000,3.513
2397600,3.506
2401200,3.467
2404800,3.397
2408400,3.301
2412000,3.186
2415600,3.059
2419200,2.929
2422800,2.805
2426400,2.695
2430000,2.606
2433600,2.545
2437200,2.516
2440800,2.521
2444400,2.558
2448000,2.627
2451600,2.721
2455200,2.835
2458800,2.96
2462400,3.089
2466000,3.212
2469600,3.32
2473200,3.407
2476800,3.467
2480400,3.494
2484000,3.488
2487600,3.448
2491200,3.378
2494800,3.282
2498400,3.166
2502000,3.038
2505600,2.907
2509200,2.782
2512800,2.671
2516400,2.582
2520000,2.52
2523600,2.491
2527200,2.496
2530800,2.534
2534400,2.603
2538000,2.698
2541600,2.813
2545200,2.939
2548800,3.069
2552400,3.193
2556000,3.303
2559600,3.391
2563200,3.451
2566800,3.479
2570400,3.472
2574000,3.433
2577600,3.362
2581200,3.264
2584800,3.147
2588400,3.019
2592000,2.887
2595600,2.761
2599200,2.649
2602800,2.559
2606400,2.497
2610000,2.468
2613600,2.473
2617200,2.511
2620800,2.581
2624400,2.677
2628000,2.793
2631600,2.921
2635200,3.052
2638800,3.177
2642400,3.288
2646000,3.377
2649600,3.437
2653200,3.465
2656800,3.459
2660400,3.419
2664000,3.348
2667600,3.25
2671200,3.132
2674800,3.002
2678400,2.869
2682000,2.742
2685600,2.629
2689200,2.539
2692800,2.476
2696400,2.447
2700000,2.451
2703600,2.49
2707200,2.561
2710800,2.658
2714400,2.775
2718000,2.904
2721600,3.037
2725200,3.163
2728800,3.275
2732400,3.365
2736000,3.426
2739600,3.455
2743200,3.449
2746800,3.409
2750400,3.337
2754000,3.238
2757600,3.119
2761200,2.988
2764800,2.853
2768400,2.725
2772000,2.611
2775600,2.52
2779200,2.457
2782800,2.427
2786400,2.432
2790000,2.472
2793600,2.543
2797200,2.641
2800800,2.76
2804400,2.89
2808000,3.024
2811600,3.152
2815200,3.265
2818800,3.356
2822400,3.418
2826000,3.447
2829600,3.441
2833200,3.401
2836800,3.328
2840400,3.228
2844000,3.108
2847600,2.976
2851200,2.84
2854800,2.71
2858400,2.595
2862000,2.503
2865600,2.44
2869200,2.41
2872800,2.415
2876400,2.455
2880000,2.527
2883600,2.626
2887200,2.746
2890800,2.878
2894400,3.014
2898000,3.143
2901600,3.258
2905200,3.35
2908800,3.413
2912400,3.442
2916000,3.436
2919600,3.395
2923200,3.322
2926800,3.221
2930400,3.1
2934000,2.966
2937600,2.829
2941200,2.698
2944800,2.582
2948400,2.489
2952000,2.424
2955600,2.394
2959200,2.399
2962800,2.44
2966400,2.513
2970000,2.614
2973600,2.735
2977200,2.869
2980800,3.006
2984400,3.137
2988000,3.253
2991600,3.346
2995200,3.41
2998800,3.44
3002400,3.434
3006000,3.393
3009600,3.318
3013200,3.216
3016800,3.094
3020400,2.958
3024000,2.82
3027600,2.687
3031200,2.57
3034800,2.476
3038400,2.411
3042000,2.38
3045600,2.386
3049200,2.427
3052800,2.501
3056400,2.603
3060000,2.726
3063600,2.861
3067200,3
3070800,3.133
3074400,3.251
3078000,3.345
3081600,3.41
3085200,3.44
3088800,3.434
3092400,3.392
3096000,3.318
3099600,3.214
3103200,3.09
3106800,2.953
3110400,2.813
3114000,2.679
3117600,2.56
3121200,2.465
3124800,2.4
3128400,2.369
3132000,2.374
3135600,2.416
3139200,2.491
3142800,2.594
3146400,2.719
3150000,2.856
3153600,2.997
3157200,3.132
3160800,3.251
3164400,3.347
3168000,3.412
3171600,3.443
3175200,3.437
3178800,3.395
3182400,3.319
3186000,3.215
3189600,3.089
3193200,2.951
3196800,2.809
3200400,2.673
3204000,2.553
3207600,2.456
3211200,2.39
3214800,2.359
3218400,2.365
3222000,2.407
3225600,2.483
3229200,2.588
3232800,2.714
3236400,2.854
3240000,2.996
3243600,3.133
3247200,3.254
3250800,3.351
3254400,3.417
3258000,3.449
3261600,3.443
3265200,3.4
3268800,3.324
3272400,3.218
3276000,3.091
3279600,2.95
3283200,2.807
3286800,2.669
3290400,2.547
3294000,2.45
3297600,2.383
3301200,2.351
3304800,2.357
3308400,2.4
3312000,2.477
3315600,2.584
3319200,2.712
3322800,2.853
3326400,2.998
3330000,3.136
3333600,3.259
3337200,3.358
3340800,3.425
3344400,3.457
3348000,3.451
3351600,3.408
3355200,3.331
3358800,3.224
3362400,3.095
3366000,2.952
3369600,2.807
3373200,2.667
3376800,2.544
3380400,2.445
3384000,2.377
