"","sw","lw","sensible","latent","hyporheic"
"highHE_gain",0.729838371830466,0,0.0196466495587826,0,0.250514978610752
"highHE_loss",0,0.273190075242409,0.0758432966939596,0.40110040788044,0.249866220183191
"modHE_gain",0.774095461495999,0,0.0192347796332703,0,0.206669758870731
"modHE_loss",0,0.287973105044389,0.0752281675269609,0.430606565998938,0.206192161429712
"lowHE_gain",0.842892568716464,0,0.0228906276007669,0,0.134216803682769
"lowHE_loss",0,0.311323194180844,0.0792477357698483,0.475476280144699,0.133952789904609
"control_gain",0.965280275223226,0,0.0347197247767742,0,0
"control_loss",0,0.352945388395174,0.094059574915695,0.552995036689131,0
"highShade_gain",0.925435444215292,0.000250274013031187,0.074314281771677,0,0
"highShade_loss",0,0.31218030267865,0.0906444173622632,0.597175279959087,0
"modShade_gain",0.797958813266469,0.0295119284783516,0.172529258255179,0,0
"modShade_loss",0,0.237476021024273,0.0915074793878926,0.671016499587834,0
"lowShade_gain",0.341149229538807,0.23169188466077,0.427158885800423,0,0
"lowShade_loss",0,0.130786228087343,0.0931478749120357,0.776065897000622,0
